Query ID: 1 ; Query: coronavirus origin
Top 1 -> Document ID: d2knbzhl ; Score: 0.6538503831405682
Top 2 -> Document ID: ne5r4d4b ; Score: 0.6405865178311025
Top 3 -> Document ID: wuegn0jg ; Score: 0.5913903139499382
Top 4 -> Document ID: zy8qjaai ; Score: 0.5070113097027378
Top 5 -> Document ID: e3wjo0yk ; Score: 0.5004350224834792
Top 6 -> Document ID: 5tb29n9s ; Score: 0.49953341302827436
Top 7 -> Document ID: lwpzlhw2 ; Score: 0.4907544982280463
Top 8 -> Document ID: x6bryq9d ; Score: 0.48798691947439216
Top 9 -> Document ID: aeogp8c7 ; Score: 0.48483891480390173
Top 10 -> Document ID: v08cs51n ; Score: 0.482748697991749
Top 11 -> Document ID: 8l411r1w ; Score: 0.4812249114413456
Top 12 -> Document ID: 602a2xdn ; Score: 0.47997908843748255
Top 13 -> Document ID: es7q6c90 ; Score: 0.477822229983186
Top 14 -> Document ID: 81knkem4 ; Score: 0.47596562887766575
Top 15 -> Document ID: fjsrg656 ; Score: 0.47283448025246505
Top 16 -> Document ID: 5g2hnk1x ; Score: 0.47021389961194154
Top 17 -> Document ID: orqlbw9m ; Score: 0.46594773410801393
Top 18 -> Document ID: dopa8hxy ; Score: 0.45256419118104624
Top 19 -> Document ID: gnxbfcod ; Score: 0.45055098709542946
Top 20 -> Document ID: dnxhtbxn ; Score: 0.44919665450574164
Top 21 -> Document ID: zhxrlopp ; Score: 0.4491263212186378
Top 22 -> Document ID: lfo6otkc ; Score: 0.44728174587747926
Top 23 -> Document ID: ssa59gng ; Score: 0.4438236333221876
Top 24 -> Document ID: sprvon1t ; Score: 0.44373389070651753
Top 25 -> Document ID: a3groawt ; Score: 0.44335607099869917
Top 26 -> Document ID: knv0zd26 ; Score: 0.44206409262033075
Top 27 -> Document ID: 2inlyd0t ; Score: 0.44111390421487295
Top 28 -> Document ID: hrb0shhg ; Score: 0.44085077905275943
Top 29 -> Document ID: 08ds967z ; Score: 0.4401397770090127
Top 30 -> Document ID: 9ai2bmqp ; Score: 0.43926564513030414
Top 31 -> Document ID: m7eonmga ; Score: 0.43896344771771406
Top 32 -> Document ID: kwq2y3il ; Score: 0.4388446133344209
Top 33 -> Document ID: jp8y1owf ; Score: 0.4377668577904162
Top 34 -> Document ID: yo5ojr0s ; Score: 0.43553754285929225
Top 35 -> Document ID: mv3crcsh ; Score: 0.4333501196410111
Top 36 -> Document ID: 0y8lfjkx ; Score: 0.43290531147213124
Top 37 -> Document ID: 57zdu3o2 ; Score: 0.4302708857580354
Top 38 -> Document ID: xdg5mkum ; Score: 0.4302622311859445
Top 39 -> Document ID: y4n1gqeb ; Score: 0.4299537523478031
Top 40 -> Document ID: a2x1hvkk ; Score: 0.4294971626917104
Top 41 -> Document ID: iusv19qd ; Score: 0.4288348637801961
Top 42 -> Document ID: 0dac26xk ; Score: 0.42877513827532354
Top 43 -> Document ID: t1iuhx3a ; Score: 0.4253777588169027
Top 44 -> Document ID: qp13h0un ; Score: 0.4226148298154048
Top 45 -> Document ID: i6um5iu2 ; Score: 0.42244537782829883
Top 46 -> Document ID: t1qbg7bj ; Score: 0.4208259084859538
Top 47 -> Document ID: 7ve9gs2a ; Score: 0.42072362921079837
Top 48 -> Document ID: 79v0hdi9 ; Score: 0.41963621658492967
Top 49 -> Document ID: stnjl8f8 ; Score: 0.41790708650641795
Top 50 -> Document ID: gbyyehbu ; Score: 0.4158602213015996
Query ID: 2 ; Query: coronavirus response to weather changes
Top 1 -> Document ID: vj3wk150 ; Score: 0.32366937221599856
Top 2 -> Document ID: a2x1hvkk ; Score: 0.26490164345508144
Top 3 -> Document ID: fzq71ghi ; Score: 0.25179148472372936
Top 4 -> Document ID: 1vehi4w4 ; Score: 0.24590823158152386
Top 5 -> Document ID: sdr7dkbg ; Score: 0.24505652807127232
Top 6 -> Document ID: nj1p4ehx ; Score: 0.2422456377375336
Top 7 -> Document ID: fit47dvd ; Score: 0.2420063136285309
Top 8 -> Document ID: hxial3gi ; Score: 0.24167525968804238
Top 9 -> Document ID: 8p1agcm2 ; Score: 0.2358089531224165
Top 10 -> Document ID: a3groawt ; Score: 0.2321365863276552
Top 11 -> Document ID: itu39mln ; Score: 0.23045794778402406
Top 12 -> Document ID: ukpjv0xh ; Score: 0.22931228918175825
Top 13 -> Document ID: esie5osf ; Score: 0.22650418684088902
Top 14 -> Document ID: 5tb29n9s ; Score: 0.22610285939482055
Top 15 -> Document ID: 7c7qkgca ; Score: 0.22540356886235163
Top 16 -> Document ID: kjwz3ozn ; Score: 0.22494239531679908
Top 17 -> Document ID: 8lu9tc9x ; Score: 0.22421549693643728
Top 18 -> Document ID: lwpzlhw2 ; Score: 0.22212927587278553
Top 19 -> Document ID: x6bryq9d ; Score: 0.22087659196119674
Top 20 -> Document ID: aeogp8c7 ; Score: 0.21945171658985527
Top 21 -> Document ID: jp8y1owf ; Score: 0.21904048885671887
Top 22 -> Document ID: v08cs51n ; Score: 0.21850562572654778
Top 23 -> Document ID: 602a2xdn ; Score: 0.2172520226175373
Top 24 -> Document ID: d2knbzhl ; Score: 0.21718861343093265
Top 25 -> Document ID: dkxi8mgw ; Score: 0.2168814487072825
Top 26 -> Document ID: kftchnhz ; Score: 0.21550103130738257
Top 27 -> Document ID: mfl0iagr ; Score: 0.2154648567100786
Top 28 -> Document ID: 81knkem4 ; Score: 0.21543541804440397
Top 29 -> Document ID: r3wvesjf ; Score: 0.21322578784047708
Top 30 -> Document ID: 5g2hnk1x ; Score: 0.21283202375780094
Top 31 -> Document ID: msnhtzck ; Score: 0.21120134440722443
Top 32 -> Document ID: xdg5mkum ; Score: 0.2107846427439443
Top 33 -> Document ID: ktb3s62l ; Score: 0.20958938229811044
Top 34 -> Document ID: jubuq9tq ; Score: 0.2094653790094553
Top 35 -> Document ID: gk0bgaa1 ; Score: 0.20879142284081284
Top 36 -> Document ID: 2rhcz41w ; Score: 0.20866459536434598
Top 37 -> Document ID: ja1pqkfl ; Score: 0.2079946971265069
Top 38 -> Document ID: jc00ulx5 ; Score: 0.2079257973678223
Top 39 -> Document ID: 05b6s8oz ; Score: 0.20790843065384002
Top 40 -> Document ID: sp212tai ; Score: 0.20697288938243164
Top 41 -> Document ID: k38xlki3 ; Score: 0.20498238894388354
Top 42 -> Document ID: fftbxz6e ; Score: 0.20477934898691985
Top 43 -> Document ID: rphmxnyv ; Score: 0.20446172155075845
Top 44 -> Document ID: gnxbfcod ; Score: 0.20393203703406612
Top 45 -> Document ID: rhhafruq ; Score: 0.2029185294604357
Top 46 -> Document ID: iedh762s ; Score: 0.20279316251791965
Top 47 -> Document ID: 4pl3bhx6 ; Score: 0.20263714617691778
Top 48 -> Document ID: dmpoy0b1 ; Score: 0.2019551005329897
Top 49 -> Document ID: pgiqxd7v ; Score: 0.20123634981576613
Top 50 -> Document ID: ssa59gng ; Score: 0.20088704768076251
Query ID: 3 ; Query: coronavirus immunity
Top 1 -> Document ID: 3eatplc2 ; Score: 0.945925215244253
Top 2 -> Document ID: sp212tai ; Score: 0.8809367550362632
Top 3 -> Document ID: 1oruu33o ; Score: 0.8499748941625564
Top 4 -> Document ID: id5z8rtv ; Score: 0.8307548166836709
Top 5 -> Document ID: sdr7dkbg ; Score: 0.8186795861185145
Top 6 -> Document ID: 8p1agcm2 ; Score: 0.7713962195266884
Top 7 -> Document ID: qaf9esus ; Score: 0.7507405673492588
Top 8 -> Document ID: puxz2f9g ; Score: 0.7470070053315683
Top 9 -> Document ID: exbylvf2 ; Score: 0.7460725093022285
Top 10 -> Document ID: 3mtqfe2k ; Score: 0.7352574112409077
Top 11 -> Document ID: 6lt6bk8u ; Score: 0.7245902710484431
Top 12 -> Document ID: g6w27q0g ; Score: 0.7105963190585736
Top 13 -> Document ID: a6gviwk5 ; Score: 0.703211074611181
Top 14 -> Document ID: tymdjrav ; Score: 0.698676300154988
Top 15 -> Document ID: xetzg7gp ; Score: 0.6967033019009307
Top 16 -> Document ID: 2bqeboy4 ; Score: 0.6948064464271717
Top 17 -> Document ID: 5tb29n9s ; Score: 0.6941289937538262
Top 18 -> Document ID: 2db77jpp ; Score: 0.6933607941463081
Top 19 -> Document ID: wh9vvgv2 ; Score: 0.6839867940489177
Top 20 -> Document ID: lwpzlhw2 ; Score: 0.6819302115750894
Top 21 -> Document ID: 076qek8o ; Score: 0.6816609240221312
Top 22 -> Document ID: x6bryq9d ; Score: 0.6780845095553535
Top 23 -> Document ID: zg4o00b0 ; Score: 0.6738271985056622
Top 24 -> Document ID: aeogp8c7 ; Score: 0.6737101849210648
Top 25 -> Document ID: zpwqunl5 ; Score: 0.6697969949018119
Top 26 -> Document ID: 602a2xdn ; Score: 0.6669571904314852
Top 27 -> Document ID: t1iuhx3a ; Score: 0.6669249762658902
Top 28 -> Document ID: d2knbzhl ; Score: 0.6667625261313059
Top 29 -> Document ID: z9nwechy ; Score: 0.6614386741302222
Top 30 -> Document ID: 81knkem4 ; Score: 0.6613802689021747
Top 31 -> Document ID: w1dhk6kc ; Score: 0.6612365975848102
Top 32 -> Document ID: rhhafruq ; Score: 0.6606888057907495
Top 33 -> Document ID: or0czzdp ; Score: 0.6603277037782682
Top 34 -> Document ID: 6x8hpdg0 ; Score: 0.6537471939176264
Top 35 -> Document ID: 5g2hnk1x ; Score: 0.653387926561432
Top 36 -> Document ID: m4nnncsf ; Score: 0.647076028928394
Top 37 -> Document ID: r0jglidt ; Score: 0.6460543902910555
Top 38 -> Document ID: a2x1hvkk ; Score: 0.6459518863705888
Top 39 -> Document ID: 1udn20wo ; Score: 0.6436245982196124
Top 40 -> Document ID: dvyhw0n7 ; Score: 0.6430769156473203
Top 41 -> Document ID: 84z9fp2u ; Score: 0.6413582776298199
Top 42 -> Document ID: 2xy66mr5 ; Score: 0.6375502958553353
Top 43 -> Document ID: yikix201 ; Score: 0.6347656254026501
Top 44 -> Document ID: 9a2yruq0 ; Score: 0.6337662182674636
Top 45 -> Document ID: asost8nl ; Score: 0.6307259204962108
Top 46 -> Document ID: dopa8hxy ; Score: 0.6288626915447859
Top 47 -> Document ID: gnxbfcod ; Score: 0.6260652343783096
Top 48 -> Document ID: fv9q0ff7 ; Score: 0.6256212278028176
Top 49 -> Document ID: k3v132dq ; Score: 0.6191542234630459
Top 50 -> Document ID: lb68547c ; Score: 0.6183529028917807
Query ID: 4 ; Query: how do people die from the coronavirus
Top 1 -> Document ID: 1r1rjw66 ; Score: 0.713570215052244
Top 2 -> Document ID: ndi53z0t ; Score: 0.6921490471357687
Top 3 -> Document ID: 5tb29n9s ; Score: 0.6665919844255879
Top 4 -> Document ID: lwpzlhw2 ; Score: 0.654877143966145
Top 5 -> Document ID: x6bryq9d ; Score: 0.6511840059991199
Top 6 -> Document ID: sprvon1t ; Score: 0.6500572469138532
Top 7 -> Document ID: aeogp8c7 ; Score: 0.6469832165713174
Top 8 -> Document ID: dirhry5q ; Score: 0.6408025723663235
Top 9 -> Document ID: 602a2xdn ; Score: 0.640498122247163
