Metrics considering relevant documents with relevance greater or equal than 1

Query 	 Precision 	 Recall 	 F-Measure 	 Average Precision 	 NDCG 	 Latency
# 	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50
1	0.33 0.25 0.0	0.0 0.0 0.0	0.01 0.01 0.0	0.14 0.14 0.0	0.14 0.25 0.0	285
2	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	345
3	0.0 0.25 0.0	0.0 0.01 0.0	0.0 0.01 0.0	0.0 0.08 0.0	0.0 0.13 0.0	162
4	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	427
5	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	304
6	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	373
7	0.0 0.5 0.0	0.0 0.01 0.0	0.0 0.03 0.0	0.0 0.08 0.0	0.0 0.11 0.0	193
8	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	206
9	1.0 1.0 0.0	0.05 0.05 0.0	0.1 0.1 0.0	0.61 0.61 0.0	0.39 0.47 0.0	112
10	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	354
11	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	198
12	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	124
13	1.0 1.0 0.0	0.0 0.0 0.0	0.01 0.01 0.0	0.5 0.5 0.0	0.9 0.95 0.0	160
14	1.0 1.0 0.0	0.03 0.04 0.0	0.05 0.07 0.0	0.29 0.25 0.0	0.3 0.31 0.0	216
15	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	124
16	1.0 1.0 0.0	0.02 0.03 0.0	0.05 0.07 0.0	1.0 0.76 0.0	1.0 0.84 0.0	162
17	1.0 1.0 0.0	0.01 0.04 0.0	0.02 0.07 0.0	0.33 0.21 0.0	0.5 0.17 0.0	195
18	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	137
19	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	262
20	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	99
21	1.0 1.0 0.0	0.01 0.01 0.0	0.02 0.02 0.0	0.25 0.25 0.0	0.35 0.43 0.0	2964
22	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	214
23	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	132
24	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	100
25	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	93
26	1.0 1.0 0.0	0.01 0.01 0.0	0.01 0.02 0.0	0.17 0.14 0.0	0.19 0.16 0.0	165
27	1.0 0.67 0.0	0.01 0.01 0.0	0.03 0.03 0.0	0.21 0.21 0.0	0.15 0.25 0.0	102
28	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	80
29	1.0 1.0 0.0	0.01 0.01 0.0	0.03 0.03 0.0	0.31 0.31 0.0	0.32 0.41 0.0	108
30	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	94
31	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	169
32	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	89
33	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	107
34	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	87
35	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	142
36	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	187
37	1.0 1.0 0.0	0.01 0.01 0.0	0.03 0.03 0.0	0.5 0.5 0.0	0.9 0.95 0.0	623
38	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	329
39	0.0 1.0 0.0	0.0 0.02 0.0	0.0 0.04 0.0	0.0 0.05 0.0	0.0 0.02 0.0	227
40	1.0 0.67 0.0	0.02 0.04 0.0	0.03 0.07 0.0	0.45 0.32 0.0	0.58 0.33 0.0	107
41	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	283
42	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	225
43	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	114
44	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	226
45	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	378
46	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	107
47	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	273
48	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	117
49	0.0 1.0 0.0	0.0 0.1 0.0	0.0 0.18 0.0	0.0 0.06 0.0	0.0 0.05 0.0	473
50	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	144
Mean	0.23 0.27 0.0	0.0 0.01 0.0	0.01 0.02 0.0	0.1 0.09 0.0	0.11 0.12 0.0	169
Query Throughput: 3.88
