Metrics considering relevant documents with relevance greater or equal than 1

Query 	 Precision 	 Recall 	 F-Measure 	 Average Precision 	 NDCG 	 Latency
# 	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50
1	0.0 0.33 0.0	0.0 0.0 0.0	0.0 0.01 0.0	0.0 0.05 0.0	0.0 0.02 0.0	225
2	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	299
3	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	150
4	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	126
5	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	310
6	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	210
7	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	191
8	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	192
9	0.5 0.5 0.0	0.03 0.03 0.0	0.05 0.05 0.0	0.25 0.25 0.0	0.35 0.43 0.0	111
10	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	192
11	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	150
12	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	81
13	1.0 1.0 0.0	0.0 0.0 0.0	0.01 0.01 0.0	0.13 0.13 0.0	0.1 0.22 0.0	121
14	1.0 1.0 0.0	0.03 0.03 0.0	0.05 0.05 0.0	0.27 0.27 0.0	0.23 0.32 0.0	95
15	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	102
16	0.5 0.67 0.0	0.01 0.02 0.0	0.02 0.04 0.0	0.17 0.17 0.0	0.19 0.21 0.0	133
17	0.0 1.0 0.0	0.0 0.01 0.0	0.0 0.02 0.0	0.0 0.08 0.0	0.0 0.13 0.0	186
18	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	136
19	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	86
20	0.0 0.5 0.0	0.0 0.01 0.0	0.0 0.02 0.0	0.0 0.06 0.0	0.0 0.05 0.0	97
21	0.0 1.0 0.0	0.0 0.01 0.0	0.0 0.02 0.0	0.0 0.06 0.0	0.0 0.04 0.0	108
22	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	189
23	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	119
24	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	92
25	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	85
26	0.0 1.0 0.0	0.0 0.01 0.0	0.0 0.02 0.0	0.0 0.1 0.0	0.0 0.09 0.0	134
27	1.0 0.5 0.0	0.01 0.01 0.0	0.01 0.01 0.0	0.1 0.1 0.0	0.03 0.17 0.0	89
28	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	85
29	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	99
30	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	79
31	1.0 1.0 0.25	0.01 0.01 0.01	0.03 0.03 0.03	0.14 0.14 0.14	0.14 0.25 0.31	153
32	0.0 0.0 0.25	0.0 0.0 0.01	0.0 0.0 0.03	0.0 0.0 0.14	0.0 0.0 0.31	86
33	0.0 0.0 0.25	0.0 0.0 0.01	0.0 0.0 0.03	0.0 0.0 0.14	0.0 0.0 0.31	102
34	0.0 0.0 0.25	0.0 0.0 0.01	0.0 0.0 0.03	0.0 0.0 0.14	0.0 0.0 0.31	87
35	0.0 0.0 0.25	0.0 0.0 0.01	0.0 0.0 0.03	0.0 0.0 0.14	0.0 0.0 0.31	116
36	0.0 1.0 0.25	0.0 0.01 0.01	0.0 0.02 0.03	0.0 0.05 0.14	0.0 0.02 0.31	88
37	0.5 0.5 0.25	0.01 0.01 0.01	0.02 0.02 0.03	0.33 0.33 0.14	0.5 0.57 0.31	124
38	0.0 0.0 0.25	0.0 0.0 0.01	0.0 0.0 0.03	0.0 0.0 0.14	0.0 0.0 0.31	608
39	0.0 0.0 0.25	0.0 0.0 0.01	0.0 0.0 0.03	0.0 0.0 0.14	0.0 0.0 0.31	129
40	0.5 0.5 0.67	0.01 0.02 0.04	0.02 0.03 0.07	0.13 0.13 0.12	0.1 0.15 0.16	61
41	0.0 0.0 0.67	0.0 0.0 0.04	0.0 0.0 0.07	0.0 0.0 0.12	0.0 0.0 0.16	132
42	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	146
43	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	63
