Metrics considering relevant documents with relevance greater or equal than 2

Query 	 Precision 	 Recall 	 F-Measure 	 Average Precision 	 NDCG 	 Latency
# 	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50
1	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.09 0.0	669
2	0.0 0.0 0.25	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.02	0.0 0.0 0.01	3398
3	0.0 0.0 0.25	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.02	0.0 0.13 0.01	337
4	0.0 0.0 0.25	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.02	0.0 0.0 0.01	547
5	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.26 0.34 0.17	3053
6	1.0 0.5 0.14	0.01 0.01 0.01	0.02 0.02 0.02	1.0 1.0 0.03	1.0 0.71 0.17	501
7	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	352
8	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	258
9	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	411
10	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	3057
11	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	252
12	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	309
13	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	235
14	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	2951
15	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	162
16	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	1.0 0.84 0.17	256
17	0.0 0.67 0.14	0.0 0.05 0.01	0.0 0.09 0.02	0.0 0.09 0.03	0.5 0.17 0.17	302
18	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	771
19	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	3028
20	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	182
21	1.0 1.0 0.14	0.01 0.01 0.01	0.03 0.03 0.02	0.25 0.25 0.03	0.35 0.43 0.17	240
22	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	376
23	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	254
24	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	257
25	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	166
26	1.0 0.5 0.14	0.01 0.01 0.01	0.01 0.01 0.02	0.14 0.14 0.03	0.14 0.25 0.17	2981
27	1.0 0.67 0.14	0.04 0.04 0.01	0.07 0.07 0.02	0.21 0.21 0.03	0.15 0.25 0.17	178
28	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	277
29	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	2950
30	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	225
31	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	446
32	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	146
33	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	3072
34	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	233
35	0.0 0.0 0.14	0.0 0.0 0.01	0.0 0.0 0.02	0.0 0.0 0.03	0.0 0.0 0.17	360
36	0.0 0.0 0.6	0.0 0.0 0.03	0.0 0.0 0.06	0.0 0.0 0.04	0.0 0.0 0.02	475
