Metrics considering relevant documents with relevance greater or equal than 2

Query 	 Precision 	 Recall 	 F-Measure 	 Average Precision 	 NDCG 	 Latency
# 	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50
1	0.0 0.25 0.0	0.0 0.01 0.0	0.0 0.02 0.0	0.0 0.06 0.0	0.5 0.22 0.0	416
2	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	565
3	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.1 0.17 0.0	207
4	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	230
5	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	350
6	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	317
7	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	578
8	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	261
9	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.14 0.25 0.0	139
10	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	281
11	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	257
12	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	156
13	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.35 0.43 0.0	187
14	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	1.0 0.46 0.0	307
15	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	157
16	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.03 0.17 0.0	226
17	1.0 0.67 0.5	0.02 0.05 0.05	0.05 0.09 0.09	0.13 0.14 0.14	0.1 0.16 0.23	242
18	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	287
19	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	121
20	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	125
21	1.0 1.0 0.5	0.01 0.01 0.05	0.03 0.03 0.09	0.2 0.2 0.14	0.26 0.34 0.23	136
22	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	175
23	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	111
24	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	277
25	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	108
26	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	192
27	1.0 1.0 0.5	0.02 0.02 0.05	0.04 0.04 0.09	0.25 0.25 0.14	0.35 0.43 0.23	118
28	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	112
29	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	365
30	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	112
31	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	3410
32	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	101
33	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	132
34	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	109
35	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	177
36	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	222
37	1.0 1.0 0.5	0.02 0.02 0.05	0.04 0.04 0.09	0.5 0.5 0.14	0.9 0.95 0.23	258
38	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	271
39	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	200
40	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	108
41	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	458
42	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	260
43	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	118
44	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	321
45	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	383
46	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	233
47	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	322
48	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	162
49	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	460
50	0.0 0.0 0.5	0.0 0.0 0.05	0.0 0.0 0.09	0.0 0.0 0.14	0.0 0.0 0.23	372
Mean	0.08 0.08 0.01	0.0 0.0 0.0	0.0 0.0 0.0	0.02 0.02 0.0	0.07 0.07 0.0	230
Query Throughput: 3.29
