Metrics considering relevant documents with relevance greater or equal than 2

Query 	 Precision 	 Recall 	 F-Measure 	 Average Precision 	 NDCG 	 Latency
# 	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50	@10  @20  @50
1	0.2 0.21 0.23	0.01 0.03 0.07	0.02 0.05 0.11	0.17 0.19 0.16	0.15 0.21 0.29	149
2	0.0 0.0 0.1	0.0 0.0 0.05	0.0 0.0 0.07	0.0 0.0 0.03	0.0 0.0 0.06	50
3	0.0 0.08 0.13	0.0 0.03 0.14	0.0 0.05 0.13	0.0 0.09 0.08	0.03 0.12 0.2	33
4	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.1 0.22 0.29	26
5	0.0 0.14 0.11	0.0 0.01 0.02	0.0 0.02 0.03	0.0 0.08 0.06	1.0 0.37 0.31	28
6	0.5 0.45 0.39	0.03 0.05 0.08	0.05 0.08 0.14	0.67 0.5 0.38	0.7 0.6 0.6	36
7	0.29 0.23 0.22	0.03 0.05 0.1	0.06 0.08 0.14	0.31 0.26 0.21	0.32 0.32 0.34	33
8	0.17 0.11 0.08	0.03 0.03 0.03	0.06 0.05 0.05	0.14 0.14 0.14	0.14 0.25 0.25	40
9	0.25 0.25 0.11	0.08 0.08 0.08	0.13 0.13 0.1	0.2 0.2 0.2	0.52 0.57 0.6	10
10	0.5 0.5 0.44	0.13 0.17 0.33	0.2 0.25 0.38	0.49 0.44 0.33	0.75 0.75 0.67	14
11	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.02 0.09	14
12	0.29 0.5 0.44	0.01 0.04 0.05	0.03 0.07 0.09	0.16 0.23 0.22	0.14 0.26 0.37	12
13	0.0 0.0 0.24	0.0 0.0 0.06	0.0 0.0 0.09	0.0 0.0 0.07	0.6 0.63 0.26	13
14	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.88 0.73 0.74	11
15	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.01	10
16	0.25 0.19 0.09	0.13 0.2 0.2	0.17 0.19 0.12	0.27 0.23 0.23	0.44 0.45 0.53	16
17	0.4 0.44 0.33	0.1 0.17 0.2	0.16 0.25 0.25	0.53 0.47 0.44	0.71 0.67 0.7	17
18	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.04 0.15	12
19	0.0 0.33 0.2	0.0 0.05 0.1	0.0 0.08 0.13	0.0 0.07 0.06	0.0 0.08 0.13	8
20	0.29 0.14 0.09	0.17 0.17 0.17	0.21 0.15 0.11	0.21 0.21 0.21	0.38 0.47 0.52	10
21	0.67 0.25 0.25	0.03 0.03 0.07	0.05 0.05 0.11	0.42 0.42 0.24	0.43 0.46 0.36	12
22	0.0 0.2 0.11	0.0 0.05 0.05	0.0 0.08 0.07	0.0 0.05 0.05	0.0 0.01 0.14	11
23	0.0 0.0 0.13	0.0 0.0 0.07	0.0 0.0 0.09	0.0 0.0 0.03	0.0 0.0 0.08	9
24	0.33 0.25 0.21	0.14 0.14 0.21	0.2 0.18 0.21	0.42 0.42 0.31	0.43 0.5 0.41	20
25	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	0.0 0.0 0.0	9
