Query ID: 1 ; Query: coronavirus origin
Top 1 -> Document ID: wuegn0jg ; Score: 11.345
Top 2 -> Document ID: octtfmnp ; Score: 11.286
Top 3 -> Document ID: 7x2bb0dp ; Score: 10.731
Top 4 -> Document ID: xpsb558x ; Score: 10.731
Top 5 -> Document ID: 75773gwg ; Score: 10.704
Top 6 -> Document ID: hl967ekh ; Score: 10.704
Top 7 -> Document ID: es7q6c90 ; Score: 10.668
Top 8 -> Document ID: 5p504kl6 ; Score: 10.66
Top 9 -> Document ID: ne5r4d4b ; Score: 10.642
Top 10 -> Document ID: f047dvb4 ; Score: 10.593
Top 11 -> Document ID: ln6wsnxy ; Score: 10.557
Top 12 -> Document ID: wr2k7te9 ; Score: 10.557
Top 13 -> Document ID: bo4mwxy9 ; Score: 10.506
Top 14 -> Document ID: 7nmmgi3v ; Score: 10.506
Top 15 -> Document ID: r0peje13 ; Score: 10.489
Top 16 -> Document ID: llv3cvdr ; Score: 10.489
Top 17 -> Document ID: e3wjo0yk ; Score: 10.471
Top 18 -> Document ID: d2knbzhl ; Score: 10.455
Top 19 -> Document ID: jer4jwwf ; Score: 10.293
Top 20 -> Document ID: df9yhgaz ; Score: 10.256
Top 21 -> Document ID: db8j8wxx ; Score: 10.239
Top 22 -> Document ID: lt09z61w ; Score: 10.228
Top 23 -> Document ID: hncf2qe8 ; Score: 10.203
Top 24 -> Document ID: kgs7n067 ; Score: 10.185
Top 25 -> Document ID: dpn348n6 ; Score: 10.175
Top 26 -> Document ID: wad7uob1 ; Score: 10.175
Top 27 -> Document ID: 8ccl9aui ; Score: 10.15
Top 28 -> Document ID: kqqantwg ; Score: 10.149
Top 29 -> Document ID: 12dcftwt ; Score: 10.149
Top 30 -> Document ID: is8tlxja ; Score: 10.147
Top 31 -> Document ID: u65mey2z ; Score: 10.11
Top 32 -> Document ID: m2z2rp24 ; Score: 10.11
Top 33 -> Document ID: ax6v6ham ; Score: 10.107
Top 34 -> Document ID: 4dtk1kyh ; Score: 10.012
Top 35 -> Document ID: zy8qjaai ; Score: 9.92
