Query ID: 1 ; Query: coronavirus origin
Top 1 -> Document ID: wuegn0jg ; Score: 3.584
Top 2 -> Document ID: ne5r4d4b ; Score: 3.538
Top 3 -> Document ID: e3wjo0yk ; Score: 3.435
Top 4 -> Document ID: d2knbzhl ; Score: 3.392
Top 5 -> Document ID: mv3crcsh ; Score: 3.361
Top 6 -> Document ID: zy8qjaai ; Score: 3.324
Top 7 -> Document ID: es7q6c90 ; Score: 3.306
Top 8 -> Document ID: ffex7dw9 ; Score: 3.299
Top 9 -> Document ID: lfo6otkc ; Score: 3.292
Top 10 -> Document ID: dnxhtbxn ; Score: 3.279
Top 11 -> Document ID: p0kv1pht ; Score: 3.266
Top 12 -> Document ID: kw7mon2o ; Score: 3.24
Top 13 -> Document ID: 0194oljo ; Score: 3.201
Top 14 -> Document ID: ec8lpgl3 ; Score: 3.178
Top 15 -> Document ID: hncf2qe8 ; Score: 3.165
Top 16 -> Document ID: 9dj07sac ; Score: 3.135
Top 17 -> Document ID: ccdj7137 ; Score: 3.112
Top 18 -> Document ID: t7gpi2vo ; Score: 3.106
Top 19 -> Document ID: orqlbw9m ; Score: 3.09
Top 20 -> Document ID: xad3k5aw ; Score: 3.081
Top 21 -> Document ID: yzp9wjuk ; Score: 3.081
Top 22 -> Document ID: 8l411r1w ; Score: 3.077
Top 23 -> Document ID: uqls3p01 ; Score: 3.062
Top 24 -> Document ID: dbowa5bt ; Score: 3.061
Top 25 -> Document ID: 1mjaycee ; Score: 3.059
Top 26 -> Document ID: 8ywd6j2b ; Score: 3.051
Top 27 -> Document ID: zel9a3u6 ; Score: 3.035
Top 28 -> Document ID: fjsrg656 ; Score: 3.027
Top 29 -> Document ID: ezi2mret ; Score: 3.014
Top 30 -> Document ID: z9dolxky ; Score: 3.006
Top 31 -> Document ID: 1bvsn9e8 ; Score: 3.002
Top 32 -> Document ID: pt0ci67s ; Score: 2.996
Top 33 -> Document ID: j5teavse ; Score: 2.987
Top 34 -> Document ID: 1ub01j2x ; Score: 2.967
Top 35 -> Document ID: uadfehr6 ; Score: 2.951
Top 36 -> Document ID: sdtxi8xw ; Score: 2.947
Top 37 -> Document ID: 7cb88t8n ; Score: 2.934
Top 38 -> Document ID: hfkzu18p ; Score: 2.931
Top 39 -> Document ID: 9dwpnvxf ; Score: 2.931
Top 40 -> Document ID: misprnq8 ; Score: 2.928
Top 41 -> Document ID: pyeb86on ; Score: 2.92
Top 42 -> Document ID: yg4rs07n ; Score: 2.917
Top 43 -> Document ID: mhm7r3qc ; Score: 2.916
Top 44 -> Document ID: k3cc3ufk ; Score: 2.91
Top 45 -> Document ID: pi6a2ql7 ; Score: 2.902
Top 46 -> Document ID: kj67rd7g ; Score: 2.9
Top 47 -> Document ID: zhxrlopp ; Score: 2.887
Top 48 -> Document ID: 2w0zr9c0 ; Score: 2.879
Top 49 -> Document ID: 5op2m7pu ; Score: 2.879
Top 50 -> Document ID: bojfc3q0 ; Score: 2.875
Query ID: 2 ; Query: coronavirus response to weather changes
Top 1 -> Document ID: kftchnhz ; Score: 6.482
Top 2 -> Document ID: h5ufxzv9 ; Score: 6.281
Top 3 -> Document ID: exqza1kg ; Score: 6.181
Top 4 -> Document ID: lv8dvdp7 ; Score: 5.913
Top 5 -> Document ID: 124czudi ; Score: 5.861
Top 6 -> Document ID: 9tqivs5f ; Score: 5.576
Top 7 -> Document ID: 0x4zrfw3 ; Score: 5.569
Top 8 -> Document ID: 39yvniki ; Score: 5.526
Top 9 -> Document ID: jc1k3fki ; Score: 5.46
Top 10 -> Document ID: d2tx02m4 ; Score: 5.427
Top 11 -> Document ID: 2p9j4ksy ; Score: 5.234
Top 12 -> Document ID: 3hn0xkst ; Score: 5.207
Top 13 -> Document ID: zvngy7zz ; Score: 5.064
Top 14 -> Document ID: b0wd2jd3 ; Score: 5.027
Top 15 -> Document ID: 3svnvozz ; Score: 4.915
Top 16 -> Document ID: zytu7wue ; Score: 4.765
Top 17 -> Document ID: r9scxa76 ; Score: 4.753
Top 18 -> Document ID: 8ozauxlk ; Score: 4.742
Top 19 -> Document ID: b32zmfru ; Score: 4.712
Top 20 -> Document ID: xzps65et ; Score: 4.536
Top 21 -> Document ID: k260c04b ; Score: 4.504
Top 22 -> Document ID: 3p542sqs ; Score: 4.367
Top 23 -> Document ID: 0p480zhb ; Score: 4.236
Top 24 -> Document ID: 01yc7lzk ; Score: 4.187
Top 25 -> Document ID: ttfmm946 ; Score: 4.098
Top 26 -> Document ID: 0qaoam29 ; Score: 4.024
Top 27 -> Document ID: ngbfiws5 ; Score: 3.96
Top 28 -> Document ID: 5j6f529x ; Score: 3.949
Top 29 -> Document ID: 4pztbu51 ; Score: 3.758
Top 30 -> Document ID: kxbhlcce ; Score: 3.758
Top 31 -> Document ID: buhu5c41 ; Score: 3.694
Top 32 -> Document ID: uaelcc1v ; Score: 3.679
Top 33 -> Document ID: delk2zeg ; Score: 3.675
Top 34 -> Document ID: k38xlki3 ; Score: 3.626
Top 35 -> Document ID: f53i4n02 ; Score: 3.616
Top 36 -> Document ID: ie8bsfzu ; Score: 3.615
Top 37 -> Document ID: 5c0ho2jx ; Score: 3.531
Top 38 -> Document ID: mg2x0n6r ; Score: 3.528
Top 39 -> Document ID: itu39mln ; Score: 3.493
Top 40 -> Document ID: dkxi8mgw ; Score: 3.482
Top 41 -> Document ID: h5xetfm0 ; Score: 3.424
Top 42 -> Document ID: gbdaad4l ; Score: 3.415
Top 43 -> Document ID: mgofcr1k ; Score: 3.392
Top 44 -> Document ID: pml9r5nd ; Score: 3.386
Top 45 -> Document ID: mfl0iagr ; Score: 3.384
Top 46 -> Document ID: iedh762s ; Score: 3.349
Top 47 -> Document ID: 6io780dm ; Score: 3.342
Top 48 -> Document ID: ohs8z91m ; Score: 3.341
Top 49 -> Document ID: 60qmiwjm ; Score: 3.315
Top 50 -> Document ID: mdi8irev ; Score: 3.294
Query ID: 3 ; Query: coronavirus immunity
Top 1 -> Document ID: 3eatplc2 ; Score: 2.764
Top 2 -> Document ID: 1oruu33o ; Score: 2.718
Top 3 -> Document ID: id5z8rtv ; Score: 2.697
Top 4 -> Document ID: sp212tai ; Score: 2.658
Top 5 -> Document ID: 8p1agcm2 ; Score: 2.657
Top 6 -> Document ID: sdr7dkbg ; Score: 2.643
Top 7 -> Document ID: puxz2f9g ; Score: 2.629
Top 8 -> Document ID: exbylvf2 ; Score: 2.593
Top 9 -> Document ID: xetzg7gp ; Score: 2.591
Top 10 -> Document ID: 076qek8o ; Score: 2.582
Top 11 -> Document ID: qaf9esus ; Score: 2.577
Top 12 -> Document ID: asost8nl ; Score: 2.571
Top 13 -> Document ID: 84z9fp2u ; Score: 2.564
Top 14 -> Document ID: yikix201 ; Score: 2.564
Top 15 -> Document ID: wh9vvgv2 ; Score: 2.542
Top 16 -> Document ID: 1udn20wo ; Score: 2.541
Top 17 -> Document ID: tymdjrav ; Score: 2.527
Top 18 -> Document ID: ocy6159b ; Score: 2.525
Top 19 -> Document ID: bc3108hi ; Score: 2.522
Top 20 -> Document ID: 2db77jpp ; Score: 2.503
Top 21 -> Document ID: 6lt6bk8u ; Score: 2.5
Top 22 -> Document ID: 3mtqfe2k ; Score: 2.5
Top 23 -> Document ID: 2suojtty ; Score: 2.492
Top 24 -> Document ID: i8zkdx7u ; Score: 2.474
Top 25 -> Document ID: w1dhk6kc ; Score: 2.473
Top 26 -> Document ID: plh92ifi ; Score: 2.465
Top 27 -> Document ID: itrv27tm ; Score: 2.456
Top 28 -> Document ID: hzhj4137 ; Score: 2.455
Top 29 -> Document ID: esie5osf ; Score: 2.453
Top 30 -> Document ID: rhhafruq ; Score: 2.451
Top 31 -> Document ID: wl121lg4 ; Score: 2.45
Top 32 -> Document ID: 2bqeboy4 ; Score: 2.45
Top 33 -> Document ID: utva5s6p ; Score: 2.446
Top 34 -> Document ID: j0gz835u ; Score: 2.439
Top 35 -> Document ID: 6x8hpdg0 ; Score: 2.438
Top 36 -> Document ID: 1vehi4w4 ; Score: 2.43
Top 37 -> Document ID: cfnoxhtd ; Score: 2.427
Top 38 -> Document ID: u8b5sccq ; Score: 2.425
Top 39 -> Document ID: ipoelk4h ; Score: 2.421
Top 40 -> Document ID: 855h0e1k ; Score: 2.419
Top 41 -> Document ID: rd5bd1ae ; Score: 2.416
Top 42 -> Document ID: bnnt05fn ; Score: 2.413
Top 43 -> Document ID: 6rcezxjx ; Score: 2.412
Top 44 -> Document ID: 4ywrzyse ; Score: 2.409
Top 45 -> Document ID: os758lsd ; Score: 2.404
Top 46 -> Document ID: 4hsbt4bl ; Score: 2.401
Top 47 -> Document ID: io6f6z3l ; Score: 2.4
Top 48 -> Document ID: d8f5rez1 ; Score: 2.39
Top 49 -> Document ID: 6bb3chgl ; Score: 2.386
Top 50 -> Document ID: bwli875x ; Score: 2.38
Query ID: 4 ; Query: how do people die from the coronavirus
Top 1 -> Document ID: s9mqv4lo ; Score: 6.237
Top 2 -> Document ID: xuiswu2l ; Score: 5.732
Top 3 -> Document ID: ndi53z0t ; Score: 5.689
Top 4 -> Document ID: 7qatfxoj ; Score: 5.569
Top 5 -> Document ID: 0tetqt33 ; Score: 5.327
Top 6 -> Document ID: 5nue46dm ; Score: 5.245
Top 7 -> Document ID: ursd3h22 ; Score: 5.008
Top 8 -> Document ID: 7w9uqinh ; Score: 4.855
Top 9 -> Document ID: thnj9c8f ; Score: 4.752
Top 10 -> Document ID: vv8f2g4c ; Score: 4.731
Top 11 -> Document ID: ar9zp6fj ; Score: 4.651
Top 12 -> Document ID: b8s728nx ; Score: 4.637
Top 13 -> Document ID: dq0xu85c ; Score: 4.27
Top 14 -> Document ID: qdmuhxaw ; Score: 4.089
Top 15 -> Document ID: l48iq9yj ; Score: 4.036
Top 16 -> Document ID: iddn9onx ; Score: 4.004
Top 17 -> Document ID: dhaznivq ; Score: 4.002
Top 18 -> Document ID: 34oh1tm5 ; Score: 4.0
Top 19 -> Document ID: jkzxjk54 ; Score: 3.975
Top 20 -> Document ID: vy417a8w ; Score: 3.969
Top 21 -> Document ID: fit47dvd ; Score: 3.953
Top 22 -> Document ID: dkp0fwe3 ; Score: 3.952
Top 23 -> Document ID: pjk5dkns ; Score: 3.95
Top 24 -> Document ID: lktfk3g3 ; Score: 3.938
Top 25 -> Document ID: g4mtpn2p ; Score: 3.916
Top 26 -> Document ID: y24qtqjj ; Score: 3.911
Top 27 -> Document ID: jgssstn3 ; Score: 3.911
Top 28 -> Document ID: b8l71xbq ; Score: 3.836
Top 29 -> Document ID: 1r1rjw66 ; Score: 3.832
Top 30 -> Document ID: dirhry5q ; Score: 3.813
Top 31 -> Document ID: 98bl3veh ; Score: 3.806
Top 32 -> Document ID: bnjjtlvw ; Score: 3.801
Top 33 -> Document ID: bz038f71 ; Score: 3.762
Top 34 -> Document ID: p0mmq1n2 ; Score: 3.749
Top 35 -> Document ID: 1ul8owic ; Score: 3.721
Top 36 -> Document ID: drgmqjbf ; Score: 3.66
Top 37 -> Document ID: fzq71ghi ; Score: 3.652
Top 38 -> Document ID: u1claajf ; Score: 3.651
Top 39 -> Document ID: owafe7qc ; Score: 3.651
Top 40 -> Document ID: 81wf1a0a ; Score: 3.648
Top 41 -> Document ID: i1udxq11 ; Score: 3.648
Top 42 -> Document ID: v4mbry22 ; Score: 3.639
Top 43 -> Document ID: k5o04w9v ; Score: 3.63
Top 44 -> Document ID: 3e31i6sn ; Score: 3.625
Top 45 -> Document ID: 9djt90wi ; Score: 3.579
Top 46 -> Document ID: sqxmt699 ; Score: 3.555
Top 47 -> Document ID: eltfevtj ; Score: 3.543
Top 48 -> Document ID: vvxjj6pf ; Score: 3.481
Top 49 -> Document ID: hwkouyzd ; Score: 3.478
Top 50 -> Document ID: q8p187qx ; Score: 3.474
Query ID: 5 ; Query: animal models of COVID-19
Top 1 -> Document ID: 9il7coyk ; Score: 5.075
Top 2 -> Document ID: ydm77mhk ; Score: 4.85
Top 3 -> Document ID: n8fwy791 ; Score: 4.734
Top 4 -> Document ID: txt4jiy8 ; Score: 4.408
Top 5 -> Document ID: okvu49y3 ; Score: 4.271
Top 6 -> Document ID: 5f95gve3 ; Score: 4.265
Top 7 -> Document ID: awitk3se ; Score: 4.242
Top 8 -> Document ID: 95ka0p8n ; Score: 4.235
Top 9 -> Document ID: pm6ta0qy ; Score: 4.209
Top 10 -> Document ID: zqsy6r4i ; Score: 4.165
Top 11 -> Document ID: 37dadupn ; Score: 4.156
Top 12 -> Document ID: i72nax2p ; Score: 4.153
Top 13 -> Document ID: jadzias9 ; Score: 4.131
Top 14 -> Document ID: f3ikyl9d ; Score: 4.122
Top 15 -> Document ID: qpt5dj8p ; Score: 4.114
Top 16 -> Document ID: kbulgxoa ; Score: 4.108
Top 17 -> Document ID: 7h1wg0oa ; Score: 4.1
Top 18 -> Document ID: ry3m6x8c ; Score: 4.091
Top 19 -> Document ID: 9sr5b44k ; Score: 4.091
Top 20 -> Document ID: d7n1zy0b ; Score: 4.08
Top 21 -> Document ID: 1s0exznp ; Score: 4.072
Top 22 -> Document ID: fcvstps9 ; Score: 4.064
Top 23 -> Document ID: x12cqydo ; Score: 4.054
Top 24 -> Document ID: 9032hh5c ; Score: 4.049
Top 25 -> Document ID: p42cgpf0 ; Score: 4.048
Top 26 -> Document ID: c94vw0vo ; Score: 4.02
Top 27 -> Document ID: a0pf12jo ; Score: 4.012
Top 28 -> Document ID: 0xzsa21a ; Score: 4.01
Top 29 -> Document ID: mrsjhjh4 ; Score: 3.979
Top 30 -> Document ID: v6wt9mhh ; Score: 3.976
Top 31 -> Document ID: ssa5rzd5 ; Score: 3.973
Top 32 -> Document ID: gs4r9j7o ; Score: 3.968
Top 33 -> Document ID: tuas2tgd ; Score: 3.96
Top 34 -> Document ID: u6b8iwr0 ; Score: 3.96
Top 35 -> Document ID: e2p46wa8 ; Score: 3.955
Top 36 -> Document ID: 1y0pl31i ; Score: 3.952
Top 37 -> Document ID: nf51yjmj ; Score: 3.948
Top 38 -> Document ID: p4cb7xyu ; Score: 3.928
Top 39 -> Document ID: x2z81cqm ; Score: 3.918
Top 40 -> Document ID: ne0qwv56 ; Score: 3.897
Top 41 -> Document ID: 11hi1jel ; Score: 3.896
Top 42 -> Document ID: xfxf1vse ; Score: 3.887
Top 43 -> Document ID: x1zq2i9h ; Score: 3.881
Top 44 -> Document ID: pvb5c4ih ; Score: 3.87
Top 45 -> Document ID: whnw19pc ; Score: 3.86
Top 46 -> Document ID: ll4rxd9p ; Score: 3.858
Top 47 -> Document ID: j10308i3 ; Score: 3.858
Top 48 -> Document ID: xuczplaf ; Score: 3.856
Top 49 -> Document ID: 3en3yey1 ; Score: 3.851
Top 50 -> Document ID: dqg8fkca ; Score: 3.85
Query ID: 6 ; Query: coronavirus test rapid testing
Top 1 -> Document ID: ehht4sff ; Score: 5.615
Top 2 -> Document ID: 6kpgt70s ; Score: 5.588
Top 3 -> Document ID: 2bfazvwo ; Score: 5.544
Top 4 -> Document ID: gsr8crk9 ; Score: 5.451
Top 5 -> Document ID: i7qltp3q ; Score: 5.427
Top 6 -> Document ID: k47yk637 ; Score: 5.417
Top 7 -> Document ID: 0y8lfjkx ; Score: 5.229
Top 8 -> Document ID: moz22sur ; Score: 5.218
Top 9 -> Document ID: a9clzlzb ; Score: 5.211
Top 10 -> Document ID: 2rf3mu4w ; Score: 5.059
Top 11 -> Document ID: i7soyabu ; Score: 5.057
Top 12 -> Document ID: zij2wbzs ; Score: 5.02
Top 13 -> Document ID: 1gt0n6uo ; Score: 5.016
Top 14 -> Document ID: c1xx1uvd ; Score: 4.99
Top 15 -> Document ID: xy5swlyi ; Score: 4.972
Top 16 -> Document ID: 96cmduez ; Score: 4.964
Top 17 -> Document ID: 91drf5ko ; Score: 4.958
Top 18 -> Document ID: azqbbsfr ; Score: 4.958
Top 19 -> Document ID: jsbdmnx5 ; Score: 4.954
Top 20 -> Document ID: 46qcxs4j ; Score: 4.937
Top 21 -> Document ID: 6mef38eo ; Score: 4.914
Top 22 -> Document ID: x9v5itzo ; Score: 4.894
Top 23 -> Document ID: i3t1cbv9 ; Score: 4.836
Top 24 -> Document ID: 32d64wk5 ; Score: 4.833
Top 25 -> Document ID: gzubfnqg ; Score: 4.814
Top 26 -> Document ID: ifdjyp5b ; Score: 4.803
Top 27 -> Document ID: u5whxwt1 ; Score: 4.802
Top 28 -> Document ID: rbblg4pu ; Score: 4.799
Top 29 -> Document ID: cfahqp8w ; Score: 4.785
Top 30 -> Document ID: ovzxizhb ; Score: 4.782
Top 31 -> Document ID: kj56zi59 ; Score: 4.775
Top 32 -> Document ID: r45ei71o ; Score: 4.757
Top 33 -> Document ID: ozmpp974 ; Score: 4.749
Top 34 -> Document ID: 5xxi33v3 ; Score: 4.737
Top 35 -> Document ID: ne9dpwtf ; Score: 4.734
Top 36 -> Document ID: zaaraiy7 ; Score: 4.726
Top 37 -> Document ID: 960ycat0 ; Score: 4.688
Top 38 -> Document ID: 7hor8kfy ; Score: 4.678
Top 39 -> Document ID: 78qyuk5x ; Score: 4.674
Top 40 -> Document ID: m41o61ki ; Score: 4.673
Top 41 -> Document ID: r9gtw3cl ; Score: 4.67
Top 42 -> Document ID: o683gmrz ; Score: 4.667
Top 43 -> Document ID: zgltws0c ; Score: 4.664
Top 44 -> Document ID: eqrxlbt3 ; Score: 4.655
Top 45 -> Document ID: fl9lur4h ; Score: 4.654
Top 46 -> Document ID: aw0xv12q ; Score: 4.648
Top 47 -> Document ID: qdgqif5j ; Score: 4.64
