Query ID: 1 ; Query: coronavirus origin
Top 1 -> Document ID: wuegn0jg ; Score: 1.335
Top 2 -> Document ID: octtfmnp ; Score: 1.267
Top 3 -> Document ID: es7q6c90 ; Score: 1.263
Top 4 -> Document ID: f06f0oa9 ; Score: 1.256
Top 5 -> Document ID: 5p504kl6 ; Score: 1.238
Top 6 -> Document ID: 5qpfaquy ; Score: 1.236
Top 7 -> Document ID: ln6wsnxy ; Score: 1.23
Top 8 -> Document ID: wr2k7te9 ; Score: 1.23
Top 9 -> Document ID: qqp1bas9 ; Score: 1.229
Top 10 -> Document ID: dpn348n6 ; Score: 1.219
Top 11 -> Document ID: wad7uob1 ; Score: 1.219
Top 12 -> Document ID: uw25s2mc ; Score: 1.213
Top 13 -> Document ID: wmfcey6f ; Score: 1.21
Top 14 -> Document ID: kgs7n067 ; Score: 1.206
Top 15 -> Document ID: al17yzc1 ; Score: 1.203
Top 16 -> Document ID: lzkn6m95 ; Score: 1.203
Top 17 -> Document ID: uadfehr6 ; Score: 1.203
Top 18 -> Document ID: hncf2qe8 ; Score: 1.202
Top 19 -> Document ID: avuike4l ; Score: 1.201
Top 20 -> Document ID: r0peje13 ; Score: 1.198
Top 21 -> Document ID: llv3cvdr ; Score: 1.198
Top 22 -> Document ID: kgifmjvb ; Score: 1.197
Top 23 -> Document ID: hbn4ytkm ; Score: 1.194
Top 24 -> Document ID: cdlcwgd1 ; Score: 1.194
Top 25 -> Document ID: jawwrsa5 ; Score: 1.193
Top 26 -> Document ID: 1srar17t ; Score: 1.189
Top 27 -> Document ID: 7qljo3tr ; Score: 1.189
Top 28 -> Document ID: mofqbemr ; Score: 1.185
Top 29 -> Document ID: yxqooptq ; Score: 1.181
Top 30 -> Document ID: yjouz9la ; Score: 1.181
Top 31 -> Document ID: 5hvyvqbg ; Score: 1.18
Top 32 -> Document ID: h2pg00pi ; Score: 1.173
Top 33 -> Document ID: bjhdy8mg ; Score: 1.171
Top 34 -> Document ID: e020mq51 ; Score: 1.166
Top 35 -> Document ID: 3x2psny9 ; Score: 1.166
Top 36 -> Document ID: 2w0zr9c0 ; Score: 1.164
Top 37 -> Document ID: pwvcwlh8 ; Score: 1.159
Top 38 -> Document ID: nip1ax1x ; Score: 1.159
Top 39 -> Document ID: bojfc3q0 ; Score: 1.159
Top 40 -> Document ID: lphy5ktq ; Score: 1.158
Top 41 -> Document ID: bzmaopx9 ; Score: 1.157
Top 42 -> Document ID: zt21qic4 ; Score: 1.154
Top 43 -> Document ID: pviapfwy ; Score: 1.154
Top 44 -> Document ID: owthkflx ; Score: 1.153
Top 45 -> Document ID: 11m896la ; Score: 1.153
Top 46 -> Document ID: mrnid1i2 ; Score: 1.152
Top 47 -> Document ID: m2cu5iof ; Score: 1.152
Top 48 -> Document ID: haywd1cv ; Score: 1.15
Query ID: 2 ; Query: coronavirus response to weather changes
Top 1 -> Document ID: ozafb1g6 ; Score: 0.883
Top 2 -> Document ID: xk2zss2q ; Score: 0.856
Top 3 -> Document ID: 97kzz8ve ; Score: 0.856
Top 4 -> Document ID: ozbbj9hw ; Score: 0.738
Top 5 -> Document ID: fqd28tmg ; Score: 0.734
Top 6 -> Document ID: qrx83fbo ; Score: 0.718
Top 7 -> Document ID: vhvs3w1y ; Score: 0.711
Top 8 -> Document ID: jtae07vj ; Score: 0.711
Top 9 -> Document ID: x9q1lbcs ; Score: 0.71
Top 10 -> Document ID: sriw42q7 ; Score: 0.704
Top 11 -> Document ID: fnsdml6s ; Score: 0.702
Top 12 -> Document ID: nzhjp0k7 ; Score: 0.7
Top 13 -> Document ID: 81ndoj34 ; Score: 0.697
Top 14 -> Document ID: 0l384jbl ; Score: 0.693
Top 15 -> Document ID: hw88iyg0 ; Score: 0.693
Top 16 -> Document ID: ody5az5r ; Score: 0.69
Top 17 -> Document ID: po1xgi6l ; Score: 0.69
Top 18 -> Document ID: vd559cgy ; Score: 0.69
Top 19 -> Document ID: 5onzj2nl ; Score: 0.69
Top 20 -> Document ID: ci5sfccl ; Score: 0.69
Top 21 -> Document ID: udokbcki ; Score: 0.69
Top 22 -> Document ID: stfsd1ia ; Score: 0.69
Top 23 -> Document ID: qijtlymg ; Score: 0.689
Top 24 -> Document ID: pnhu3fb9 ; Score: 0.683
Top 25 -> Document ID: qeozbhy1 ; Score: 0.683
Top 26 -> Document ID: adflutsk ; Score: 0.68
Top 27 -> Document ID: 2aargfnl ; Score: 0.68
Top 28 -> Document ID: v37etywy ; Score: 0.677
Top 29 -> Document ID: ns5iqtdl ; Score: 0.677
Top 30 -> Document ID: esie5osf ; Score: 0.677
Top 31 -> Document ID: sdr7dkbg ; Score: 0.677
Top 32 -> Document ID: xqmugkvy ; Score: 0.676
Top 33 -> Document ID: 811lov8f ; Score: 0.676
Top 34 -> Document ID: 4mky2qwy ; Score: 0.675
Top 35 -> Document ID: z8udq55w ; Score: 0.675
Top 36 -> Document ID: dq59d26i ; Score: 0.675
Top 37 -> Document ID: vn7crxgi ; Score: 0.675
Top 38 -> Document ID: 300ypmwx ; Score: 0.675
Top 39 -> Document ID: 5jl6ltfj ; Score: 0.673
Top 40 -> Document ID: 8o884nyp ; Score: 0.673
Top 41 -> Document ID: 1f7fj42v ; Score: 0.673
Top 42 -> Document ID: pgiqxd7v ; Score: 0.673
Top 43 -> Document ID: xkzvzonj ; Score: 0.673
Top 44 -> Document ID: odhc1xdp ; Score: 0.673
Top 45 -> Document ID: 12ggv5l5 ; Score: 0.672
Top 46 -> Document ID: aq8ilvm1 ; Score: 0.672
Top 47 -> Document ID: ravxlkra ; Score: 0.672
Top 48 -> Document ID: qwgxm1ol ; Score: 0.672
Top 49 -> Document ID: gt0obb78 ; Score: 0.671
Query ID: 3 ; Query: coronavirus immunity
Top 1 -> Document ID: h25vrfik ; Score: 1.384
Top 2 -> Document ID: plamwauy ; Score: 1.376
Top 3 -> Document ID: s6v4bgev ; Score: 1.362
Top 4 -> Document ID: hje8oqa5 ; Score: 1.299
Top 5 -> Document ID: pp2mdt6w ; Score: 1.299
Top 6 -> Document ID: bhlnpi77 ; Score: 1.298
Top 7 -> Document ID: yzffm05r ; Score: 1.287
Top 8 -> Document ID: qaf9esus ; Score: 1.287
Top 9 -> Document ID: rq5nqm92 ; Score: 1.283
Top 10 -> Document ID: rtncj86s ; Score: 1.276
Top 11 -> Document ID: qjbnk5rg ; Score: 1.276
Top 12 -> Document ID: 2db77jpp ; Score: 1.274
Top 13 -> Document ID: 00qk10im ; Score: 1.272
Top 14 -> Document ID: khr63f3h ; Score: 1.272
Top 15 -> Document ID: sn6w63nm ; Score: 1.268
Top 16 -> Document ID: y8fmls6v ; Score: 1.254
Top 17 -> Document ID: ygi1f5oy ; Score: 1.254
Top 18 -> Document ID: xyvy1yg3 ; Score: 1.254
Top 19 -> Document ID: djh0m8xr ; Score: 1.254
Top 20 -> Document ID: cwm3t75u ; Score: 1.252
Top 21 -> Document ID: q1nxgar2 ; Score: 1.251
Top 22 -> Document ID: h49ionrl ; Score: 1.251
Top 23 -> Document ID: 0th3uumh ; Score: 1.249
Top 24 -> Document ID: u5nxm9tu ; Score: 1.248
Top 25 -> Document ID: guzohu7y ; Score: 1.246
Top 26 -> Document ID: puifnwsh ; Score: 1.245
Top 27 -> Document ID: qf2lfxxr ; Score: 1.245
Top 28 -> Document ID: 0ip0qjuf ; Score: 1.241
Top 29 -> Document ID: gj30kxi0 ; Score: 1.237
Top 30 -> Document ID: 19zos5ug ; Score: 1.237
Top 31 -> Document ID: vfdvrekv ; Score: 1.232
Top 32 -> Document ID: ik375psh ; Score: 1.229
Top 33 -> Document ID: rhhafruq ; Score: 1.223
Top 34 -> Document ID: yl3lbetj ; Score: 1.21
Top 35 -> Document ID: qw8qhmv1 ; Score: 1.21
Top 36 -> Document ID: 5ayxy144 ; Score: 1.205
Top 37 -> Document ID: 1e4dbo41 ; Score: 1.205
Top 38 -> Document ID: jhgi4wf2 ; Score: 1.203
Top 39 -> Document ID: 92061hq5 ; Score: 1.203
Top 40 -> Document ID: 450bvbly ; Score: 1.203
Top 41 -> Document ID: nde8ab62 ; Score: 1.197
Top 42 -> Document ID: a4cxfs06 ; Score: 1.197
Top 43 -> Document ID: p3st70u3 ; Score: 1.184
Top 44 -> Document ID: k2s3nngh ; Score: 1.178
Top 45 -> Document ID: cc18reuz ; Score: 1.178
Top 46 -> Document ID: th3ggaa6 ; Score: 1.178
Top 47 -> Document ID: qvysy4mm ; Score: 1.165
Query ID: 4 ; Query: how do people die from the coronavirus
Top 1 -> Document ID: ingxxw6u ; Score: 1.334
Top 2 -> Document ID: ydpp8ltg ; Score: 1.334
Top 3 -> Document ID: k5nwh36y ; Score: 1.258
Top 4 -> Document ID: 4bongi1e ; Score: 1.201
Top 5 -> Document ID: f4b211wv ; Score: 1.201
Top 6 -> Document ID: 7be6oqcr ; Score: 1.187
Top 7 -> Document ID: 129i8x2e ; Score: 1.144
Top 8 -> Document ID: gsqzmuj5 ; Score: 1.132
Top 9 -> Document ID: 0y2kq6zg ; Score: 1.121
Top 10 -> Document ID: yeo6zfwj ; Score: 1.01
Top 11 -> Document ID: 4mramg8e ; Score: 0.983
Top 12 -> Document ID: zo1cw7ah ; Score: 0.971
