Query ID: 1 ; Query: coronavirus origin
Top 1 -> Document ID: 9dj07sac ; Score: 0.311
Top 2 -> Document ID: wuegn0jg ; Score: 0.303
Top 3 -> Document ID: e3wjo0yk ; Score: 0.28
Top 4 -> Document ID: ne5r4d4b ; Score: 0.275
Top 5 -> Document ID: 4068kzp0 ; Score: 0.259
Top 6 -> Document ID: orqlbw9m ; Score: 0.253
Top 7 -> Document ID: d2knbzhl ; Score: 0.248
Top 8 -> Document ID: 944w4qgq ; Score: 0.246
Top 9 -> Document ID: zy8qjaai ; Score: 0.244
Top 10 -> Document ID: fjsrg656 ; Score: 0.24
Top 11 -> Document ID: es7q6c90 ; Score: 0.238
Top 12 -> Document ID: dnxhtbxn ; Score: 0.232
Top 13 -> Document ID: 1bvsn9e8 ; Score: 0.218
Top 14 -> Document ID: ezi2mret ; Score: 0.216
Top 15 -> Document ID: zhxrlopp ; Score: 0.213
Top 16 -> Document ID: v08cs51n ; Score: 0.211
Top 17 -> Document ID: 0194oljo ; Score: 0.211
Top 18 -> Document ID: sdtxi8xw ; Score: 0.208
Top 19 -> Document ID: k3cc3ufk ; Score: 0.206
Top 20 -> Document ID: lfo6otkc ; Score: 0.205
Top 21 -> Document ID: ffex7dw9 ; Score: 0.205
Top 22 -> Document ID: pi6a2ql7 ; Score: 0.204
Top 23 -> Document ID: yg4rs07n ; Score: 0.203
Top 24 -> Document ID: 2inlyd0t ; Score: 0.201
Top 25 -> Document ID: 5g2hnk1x ; Score: 0.199
Top 26 -> Document ID: misprnq8 ; Score: 0.196
Top 27 -> Document ID: ec8lpgl3 ; Score: 0.194
Top 28 -> Document ID: a3groawt ; Score: 0.194
Top 29 -> Document ID: ccdj7137 ; Score: 0.194
Top 30 -> Document ID: p0kv1pht ; Score: 0.192
Top 31 -> Document ID: 1mjaycee ; Score: 0.192
Top 32 -> Document ID: mv3crcsh ; Score: 0.192
Top 33 -> Document ID: xad3k5aw ; Score: 0.191
Top 34 -> Document ID: t7gpi2vo ; Score: 0.191
Top 35 -> Document ID: hfkzu18p ; Score: 0.191
Top 36 -> Document ID: uqls3p01 ; Score: 0.189
Top 37 -> Document ID: dopa8hxy ; Score: 0.189
Top 38 -> Document ID: j985e544 ; Score: 0.188
Top 39 -> Document ID: ufmcfic2 ; Score: 0.188
Top 40 -> Document ID: kj67rd7g ; Score: 0.188
Top 41 -> Document ID: yzp9wjuk ; Score: 0.188
Top 42 -> Document ID: zel9a3u6 ; Score: 0.184
Top 43 -> Document ID: kw7mon2o ; Score: 0.184
Top 44 -> Document ID: uadfehr6 ; Score: 0.184
Top 45 -> Document ID: hncf2qe8 ; Score: 0.183
Top 46 -> Document ID: el1vyyj9 ; Score: 0.183
